x_value,total_1,total_2
0,1000,1000
1,999,999
2,1000,1000
3,1007,1002
4,1008,1004
5,1010,1006
6,1010,1006
7,1013,1001
8,1018,998
9,1013,1000
10,1008,1003
11,1011,1000
12,1016,1001
13,1012,999
14,1010,999
15,1005,999
16,1011,1001
17,1017,1004
18,1025,999
19,1020,1005
20,1022,1003
21,1022,1004
22,1026,999
23,1027,1002
24,1031,1005
25,1025,1010
26,1033,1007
27,1031,1011
28,1032,1008
29,1038,1013
30,1040,1015
31,1037,1018
32,1033,1023
33,1028,1023
34,1023,1018
35,1028,1014
36,1023,1010
37,1031,1009
38,1034,1008
39,1035,1004
40,1036,1007
41,1030,1011
42,1035,1014
43,1043,1014
44,1045,1010
45,1053,1008
46,1048,1012
47,1042,1018
48,1042,1024
49,1043,1020
50,1037,1021
51,1031,1023
52,1029,1028
53,1036,1028
54,1039,1034
55,1042,1033
56,1037,1030
57,1042,1034
58,1042,1031
59,1037,1027
60,1031,1025
61,1039,1028
62,1033,1025
63,1032,1031
64,1030,1035
65,1028,1030
66,1035,1025
67,1039,1027
68,1040,1024
69,1038,1023
70,1038,1023
71,1039,1026
72,1037,1025
73,1038,1020
74,1035,1022
75,1041,1021
76,1045,1019
77,1049,1023
78,1044,1027
79,1039,1030
80,1040,1034
81,1044,1040
82,1048,1042
83,1042,1045
84,1041,1048
85,1049,1052
86,1049,1051
